"","Chr","Start","End","Band"
"84",10,64800000,71300000,"q21.3"
"85",10,71300000,74600000,"q22.1"
"86",10,74600000,77400000,"q22.2"
"87",10,77400000,82000000,"q22.3"
"88",10,82000000,87900000,"q23.1"
"89",10,87900000,89600000,"q23.2"
"90",10,89600000,92900000,"q23.31"
"91",10,92900000,94200000,"q23.32"
"92",10,94200000,98000000,"q23.33"
"93",10,98000000,99400000,"q24.1"
"94",10,99400000,102000000,"q24.2"
"95",10,102000000,103000000,"q24.31"
"96",10,103000000,104900000,"q24.32"
"97",10,104900000,105700000,"q24.33"
"98",10,105700000,111800000,"q25.1"
"99",10,111800000,114900000,"q25.2"
"100",10,114900000,119100000,"q25.3"
"101",10,119100000,121700000,"q26.11"
"102",10,121700000,123100000,"q26.12"
"103",10,123100000,127400000,"q26.13"
"104",10,127400000,130500000,"q26.2"
"105",10,130500000,135374737,"q26.3"
"106",11,0,2800000,"p15.5"
"107",11,2800000,10700000,"p15.4"
"108",11,10700000,12600000,"p15.3"
"109",11,12600000,16100000,"p15.2"
"110",11,16100000,21600000,"p15.1"
"111",11,21600000,26000000,"p14.3"
"112",11,26000000,27200000,"p14.2"
"113",11,27200000,31000000,"p14.1"
"114",11,31000000,36400000,"p13"
"115",11,36400000,43400000,"p12"
"116",11,43400000,48800000,"p11.2"
"117",11,48800000,51400000,"p11.12"
"118",11,51400000,52900000,"p11.11"
"119",11,52900000,56400000,"q11"
"120",11,56400000,59700000,"q12.1"
"121",11,59700000,61400000,"q12.2"
"122",11,61400000,63100000,"q12.3"
"123",11,63100000,67100000,"q13.1"
"124",11,67100000,69200000,"q13.2"
"125",11,69200000,70700000,"q13.3"
"126",11,70700000,74900000,"q13.4"
"127",11,74900000,76700000,"q13.5"
"128",11,76700000,85300000,"q14.1"
"129",11,85300000,87900000,"q14.2"
"130",11,87900000,92300000,"q14.3"
"131",11,92300000,96700000,"q21"
"132",11,96700000,101600000,"q22.1"
"133",11,101600000,102400000,"q22.2"
"134",11,102400000,110000000,"q22.3"
"135",11,110000000,112800000,"q23.1"
"136",11,112800000,115400000,"q23.2"
"137",11,115400000,120700000,"q23.3"
"138",11,120700000,123500000,"q24.1"
"139",11,123500000,127400000,"q24.2"
"140",11,127400000,130300000,"q24.3"
"141",11,130300000,134452384,"q25"
"142",12,0,3100000,"p13.33"
"143",12,3100000,5300000,"p13.32"
"144",12,5300000,10000000,"p13.31"
"145",12,10000000,12600000,"p13.2"
"146",12,12600000,14800000,"p13.1"
"147",12,14800000,19900000,"p12.3"
"148",12,19900000,21200000,"p12.2"
"149",12,21200000,26300000,"p12.1"
"150",12,26300000,27700000,"p11.23"
"151",12,27700000,30600000,"p11.22"
"152",12,30600000,33200000,"p11.21"
"153",12,33200000,35400000,"p11.1"
"154",12,35400000,36500000,"q11"
"155",12,36500000,44600000,"q12"
"156",12,44600000,47400000,"q13.11"
"157",12,47400000,48400000,"q13.12"
"158",12,48400000,53100000,"q13.13"
"159",12,53100000,55200000,"q13.2"
"160",12,55200000,56300000,"q13.3"
"161",12,56300000,61400000,"q14.1"
"162",12,61400000,63400000,"q14.2"
"163",12,63400000,66000000,"q14.3"
"164",12,66000000,69800000,"q15"
"165",12,69800000,74100000,"q21.1"
"166",12,74100000,78700000,"q21.2"
"167",12,78700000,85100000,"q21.31"
"168",12,85100000,87500000,"q21.32"
"169",12,87500000,91200000,"q21.33"
"170",12,91200000,94800000,"q22"
"171",12,94800000,100000000,"q23.1"
"172",12,100000000,102400000,"q23.2"
"173",12,102400000,107500000,"q23.3"
"174",12,107500000,110200000,"q24.11"
"175",12,110200000,110800000,"q24.12"
"176",12,110800000,112800000,"q24.13"
"177",12,112800000,115300000,"q24.21"
"178",12,115300000,116700000,"q24.22"
"179",12,116700000,119100000,"q24.23"
"180",12,119100000,124500000,"q24.31"
"181",12,124500000,128700000,"q24.32"
"182",12,128700000,132349534,"q24.33"
"183",13,0,3800000,"p13"
"184",13,3800000,8300000,"p12"
"185",13,8300000,13500000,"p11.2"
"186",13,13500000,16000000,"p11.1"
"187",13,16000000,18400000,"q11"
"188",13,18400000,22200000,"q12.11"
"189",13,22200000,24400000,"q12.12"
"190",13,24400000,26700000,"q12.13"
"191",13,26700000,27800000,"q12.2"
"192",13,27800000,31100000,"q12.3"
"193",13,31100000,32900000,"q13.1"
"194",13,32900000,34700000,"q13.2"
"195",13,34700000,39500000,"q13.3"
"196",13,39500000,44300000,"q14.11"
"197",13,44300000,45900000,"q14.12"
"198",13,45900000,46200000,"q14.13"
"199",13,46200000,48900000,"q14.2"
"200",13,48900000,52200000,"q14.3"
"201",13,52200000,57600000,"q21.1"
"202",13,57600000,60500000,"q21.2"
"203",13,60500000,64100000,"q21.31"
"204",13,64100000,67200000,"q21.32"
"205",13,67200000,72100000,"q21.33"
"206",13,72100000,74200000,"q22.1"
"207",13,74200000,76000000,"q22.2"
"208",13,76000000,77800000,"q22.3"
"209",13,77800000,86500000,"q31.1"
"210",13,86500000,88800000,"q31.2"
"211",13,88800000,93800000,"q31.3"
"212",13,93800000,97000000,"q32.1"
"213",13,97000000,98100000,"q32.2"
"214",13,98100000,100500000,"q32.3"
"215",13,100500000,103700000,"q33.1"
"216",13,103700000,105800000,"q33.2"
"217",13,105800000,109100000,"q33.3"
"218",13,109100000,114142980,"q34"
"219",14,0,3100000,"p13"
"220",14,3100000,6700000,"p12"
"221",14,6700000,13600000,"p11.2"
"222",14,13600000,15600000,"p11.1"
"223",14,15600000,19100000,"q11.1"
"224",14,19100000,23600000,"q11.2"
"225",14,23600000,31800000,"q12"
"226",14,31800000,34100000,"q13.1"
"227",14,34100000,35600000,"q13.2"
"228",14,35600000,36900000,"q13.3"
"229",14,36900000,41000000,"q21.1"
"230",14,41000000,43200000,"q21.2"
"231",14,43200000,48300000,"q21.3"
"232",14,48300000,52300000,"q22.1"
"233",14,52300000,54400000,"q22.2"
"234",14,54400000,55800000,"q22.3"
"235",14,55800000,61200000,"q23.1"
"236",14,61200000,64000000,"q23.2"
"237",14,64000000,67000000,"q23.3"
"238",14,67000000,69300000,"q24.1"
"239",14,69300000,72900000,"q24.2"
"240",14,72900000,78400000,"q24.3"
"241",14,78400000,82600000,"q31.1"
"242",14,82600000,84000000,"q31.2"
"243",14,84000000,88900000,"q31.3"
"244",14,88900000,90500000,"q32.11"
"245",14,90500000,92800000,"q32.12"
"246",14,92800000,95400000,"q32.13"
"247",14,95400000,100400000,"q32.2"
"248",14,100400000,102200000,"q32.31"
"249",14,102200000,103000000,"q32.32"
"250",14,103000000,106368585,"q32.33"
"251",15,0,3500000,"p13"
"252",15,3500000,7900000,"p12"
"253",15,7900000,14100000,"p11.2"
"254",15,14100000,17000000,"p11.1"
"255",15,17000000,18400000,"q11.1"
"256",15,18400000,23300000,"q11.2"
"257",15,23300000,25700000,"q12"
"258",15,25700000,28000000,"q13.1"
"259",15,28000000,29000000,"q13.2"
"260",15,29000000,31400000,"q13.3"
"261",15,31400000,37900000,"q14"
"262",15,37900000,40700000,"q15.1"
"263",15,40700000,41400000,"q15.2"
"264",15,41400000,42700000,"q15.3"
"265",15,42700000,47600000,"q21.1"
"266",15,47600000,51100000,"q21.2"
"267",15,51100000,55800000,"q21.3"
"268",15,55800000,57100000,"q22.1"
"269",15,57100000,61500000,"q22.2"
"270",15,61500000,64900000,"q22.31"
"271",15,64900000,65000000,"q22.32"
"272",15,65000000,65300000,"q22.33"
"273",15,65300000,70400000,"q23"
"274",15,70400000,73100000,"q24.1"
"275",15,73100000,74400000,"q24.2"
"276",15,74400000,76100000,"q24.3"
"277",15,76100000,79500000,"q25.1"
"278",15,79500000,83000000,"q25.2"
"279",15,83000000,86900000,"q25.3"
"280",15,86900000,92100000,"q26.1"
"281",15,92100000,96300000,"q26.2"
"282",15,96300000,100338915,"q26.3"
"283",16,0,6300000,"p13.3"
"284",16,6300000,10300000,"p13.2"
"285",16,10300000,12500000,"p13.13"
"286",16,12500000,14700000,"p13.12"
"287",16,14700000,16700000,"p13.11"
"288",16,16700000,20500000,"p12.3"
"289",16,20500000,21700000,"p12.2"
"290",16,21700000,27600000,"p12.1"
"291",16,27600000,34400000,"p11.2"
"292",16,34400000,38200000,"p11.1"
"293",16,38200000,40700000,"q11.1"
"294",16,40700000,45500000,"q11.2"
"295",16,45500000,51200000,"q12.1"
"296",16,51200000,54500000,"q12.2"
"297",16,54500000,56700000,"q13"
"298",16,56700000,65200000,"q21"
"299",16,65200000,69400000,"q22.1"
"300",16,69400000,69800000,"q22.2"
"301",16,69800000,73300000,"q22.3"
"302",16,73300000,78200000,"q23.1"
"303",16,78200000,80500000,"q23.2"
"304",16,80500000,82700000,"q23.3"
"305",16,82700000,85600000,"q24.1"
"306",16,85600000,87200000,"q24.2"
"307",16,87200000,88827254,"q24.3"
"308",17,0,3600000,"p13.3"
"309",17,3600000,6800000,"p13.2"
"310",17,6800000,11200000,"p13.1"
"311",17,11200000,15900000,"p12"
"312",17,15900000,22100000,"p11.2"
"313",17,22100000,22200000,"p11.1"
"314",17,22200000,23200000,"q11.1"
"315",17,23200000,28800000,"q11.2"
"316",17,28800000,35400000,"q12"
"317",17,35400000,35600000,"q21.1"
"318",17,35600000,37800000,"q21.2"
"319",17,37800000,41900000,"q21.31"
"320",17,41900000,44800000,"q21.32"
"321",17,44800000,47600000,"q21.33"
"322",17,47600000,54900000,"q22"
"323",17,54900000,55600000,"q23.1"
"324",17,55600000,58400000,"q23.2"
"325",17,58400000,59900000,"q23.3"
"326",17,59900000,61600000,"q24.1"
"327",17,61600000,64600000,"q24.2"
"328",17,64600000,68400000,"q24.3"
"329",17,68400000,72200000,"q25.1"
"330",17,72200000,72900000,"q25.2"
"331",17,72900000,78774742,"q25.3"
"332",18,0,2900000,"p11.32"
"333",18,2900000,7200000,"p11.31"
"334",18,7200000,8500000,"p11.23"
"335",18,8500000,10900000,"p11.22"
"336",18,10900000,15400000,"p11.21"
"337",18,15400000,16100000,"p11.1"
"338",18,16100000,17300000,"q11.1"
"339",18,17300000,23300000,"q11.2"
"340",18,23300000,31000000,"q12.1"
"341",18,31000000,35500000,"q12.2"
"342",18,35500000,41800000,"q12.3"
"343",18,41800000,46400000,"q21.1"
"344",18,46400000,52000000,"q21.2"
"345",18,52000000,54400000,"q21.31"
"346",18,54400000,57100000,"q21.32"
"347",18,57100000,59800000,"q21.33"
"348",18,59800000,64900000,"q22.1"
"349",18,64900000,66900000,"q22.2"
"350",18,66900000,71300000,"q22.3"
"351",18,71300000,76117153,"q23"
"352",19,0,6900000,"p13.3"
"353",19,6900000,12600000,"p13.2"
"354",19,12600000,13800000,"p13.13"
"355",19,13800000,16100000,"p13.12"
"356",19,16100000,19800000,"p13.11"
"357",19,19800000,26700000,"p12"
"358",19,26700000,28500000,"p11"
"359",19,28500000,30200000,"q11"
"360",19,30200000,37100000,"q12"
"361",19,37100000,40300000,"q13.11"
"362",19,40300000,43000000,"q13.12"
"363",19,43000000,43400000,"q13.13"
"364",19,43400000,47800000,"q13.2"
"365",19,47800000,50000000,"q13.31"
"366",19,50000000,53800000,"q13.32"
"367",19,53800000,57600000,"q13.33"
"368",19,57600000,59100000,"q13.41"
"369",19,59100000,61400000,"q13.42"
"370",19,61400000,63811651,"q13.43"
"371",2,0,4300000,"p25.3"
"372",2,4300000,7000000,"p25.2"
"373",2,7000000,12800000,"p25.1"
"374",2,12800000,17000000,"p24.3"
"375",2,17000000,19100000,"p24.2"
"376",2,19100000,23900000,"p24.1"
"377",2,23900000,27700000,"p23.3"
"378",2,27700000,29800000,"p23.2"
"379",2,29800000,31900000,"p23.1"
"380",2,31900000,36400000,"p22.3"
"381",2,36400000,38400000,"p22.2"
"382",2,38400000,41600000,"p22.1"
"383",2,41600000,47600000,"p21"
"384",2,47600000,52700000,"p16.3"
"385",2,52700000,54800000,"p16.2"
"386",2,54800000,61100000,"p16.1"
"387",2,61100000,64000000,"p15"
"388",2,64000000,70500000,"p14"
"389",2,70500000,72600000,"p13.3"
"390",2,72600000,73900000,"p13.2"
"391",2,73900000,75400000,"p13.1"
"392",2,75400000,83700000,"p12"
"393",2,83700000,91000000,"p11.2"
"394",2,91000000,93300000,"p11.1"
"395",2,93300000,95700000,"q11.1"
"396",2,95700000,102100000,"q11.2"
"397",2,102100000,105300000,"q12.1"
"398",2,105300000,106700000,"q12.2"
"399",2,106700000,108600000,"q12.3"
"400",2,108600000,113800000,"q13"
"401",2,113800000,118600000,"q14.1"
"402",2,118600000,122100000,"q14.2"
"403",2,122100000,129600000,"q14.3"
"404",2,129600000,132200000,"q21.1"
"405",2,132200000,134800000,"q21.2"
"406",2,134800000,136600000,"q21.3"
"407",2,136600000,142400000,"q22.1"
"408",2,142400000,144700000,"q22.2"
"409",2,144700000,148400000,"q22.3"
"410",2,148400000,149600000,"q23.1"
"411",2,149600000,150300000,"q23.2"
"412",2,150300000,154600000,"q23.3"
"413",2,154600000,159600000,"q24.1"
"414",2,159600000,163500000,"q24.2"
"415",2,163500000,169500000,"q24.3"
"416",2,169500000,177700000,"q31.1"
"417",2,177700000,180400000,"q31.2"
"418",2,180400000,182700000,"q31.3"
"419",2,182700000,189100000,"q32.1"
"420",2,189100000,191600000,"q32.2"
"421",2,191600000,197100000,"q32.3"
"422",2,197100000,203500000,"q33.1"
"423",2,203500000,205600000,"q33.2"
"424",2,205600000,209100000,"q33.3"
"425",2,209100000,215100000,"q34"
"426",2,215100000,221300000,"q35"
"427",2,221300000,224900000,"q36.1"
"428",2,224900000,225800000,"q36.2"
"429",2,225800000,230700000,"q36.3"
"430",2,230700000,235300000,"q37.1"
"431",2,235300000,237000000,"q37.2"
"432",2,237000000,242951149,"q37.3"
"433",20,0,5000000,"p13"
"434",20,5000000,9000000,"p12.3"
"435",20,9000000,11900000,"p12.2"
"436",20,11900000,17800000,"p12.1"
"437",20,17800000,21200000,"p11.23"
"438",20,21200000,22300000,"p11.22"
"439",20,22300000,25700000,"p11.21"
"440",20,25700000,27100000,"p11.1"
"441",20,27100000,28400000,"q11.1"
"442",20,28400000,31500000,"q11.21"
"443",20,31500000,33900000,"q11.22"
"444",20,33900000,37100000,"q11.23"
"445",20,37100000,41100000,"q12"
"446",20,41100000,41600000,"q13.11"
"447",20,41600000,45800000,"q13.12"
"448",20,45800000,49200000,"q13.13"
"449",20,49200000,54400000,"q13.2"
"450",20,54400000,55900000,"q13.31"
"451",20,55900000,57900000,"q13.32"
"452",20,57900000,62435964,"q13.33"
"453",21,0,2900000,"p13"
"454",21,2900000,6300000,"p12"
"455",21,6300000,10000000,"p11.2"
"456",21,10000000,12300000,"p11.1"
"457",21,12300000,13200000,"q11.1"
"458",21,13200000,15300000,"q11.2"
"459",21,15300000,22900000,"q21.1"
"460",21,22900000,25800000,"q21.2"
"461",21,25800000,30500000,"q21.3"
"462",21,30500000,34700000,"q22.11"
"463",21,34700000,36700000,"q22.12"
"464",21,36700000,38600000,"q22.13"
"465",21,38600000,41400000,"q22.2"
"466",21,41400000,46944323,"q22.3"
"467",22,0,3000000,"p13"
"468",22,3000000,6600000,"p12"
"469",22,6600000,9600000,"p11.2"
"470",22,9600000,11800000,"p11.1"
"471",22,11800000,16300000,"q11.1"
"472",22,16300000,20500000,"q11.21"
"473",22,20500000,21800000,"q11.22"
"474",22,21800000,24300000,"q11.23"
"475",22,24300000,27900000,"q12.1"
"476",22,27900000,30500000,"q12.2"
"477",22,30500000,35900000,"q12.3"
"478",22,35900000,39300000,"q13.1"
"479",22,39300000,42600000,"q13.2"
"480",22,42600000,47000000,"q13.31"
"481",22,47000000,48200000,"q13.32"
"482",22,48200000,49691432,"q13.33"
"483",3,0,3500000,"p26.3"
"484",3,3500000,5500000,"p26.2"
"485",3,5500000,8700000,"p26.1"
"486",3,8700000,11500000,"p25.3"
"487",3,11500000,12400000,"p25.2"
"488",3,12400000,14700000,"p25.1"
"489",3,14700000,23800000,"p24.3"
"490",3,23800000,26400000,"p24.2"
"491",3,26400000,30800000,"p24.1"
"492",3,30800000,32100000,"p23"
"493",3,32100000,36500000,"p22.3"
"494",3,36500000,39300000,"p22.2"
"495",3,39300000,43600000,"p22.1"
"496",3,43600000,44400000,"p21.33"
"497",3,44400000,44700000,"p21.32"
"498",3,44700000,51400000,"p21.31"
"499",3,51400000,51700000,"p21.2"
"500",3,51700000,54400000,"p21.1"
"501",3,54400000,58500000,"p14.3"
"502",3,58500000,63700000,"p14.2"
"503",3,63700000,71800000,"p14.1"
"504",3,71800000,74200000,"p13"
"505",3,74200000,81800000,"p12.3"
"506",3,81800000,83700000,"p12.2"
"507",3,83700000,87200000,"p12.1"
"508",3,87200000,89400000,"p11.2"
"509",3,89400000,91700000,"p11.1"
"510",3,91700000,93200000,"q11.1"
"511",3,93200000,99800000,"q11.2"
"512",3,99800000,101500000,"q12.1"
"513",3,101500000,102500000,"q12.2"
"514",3,102500000,104400000,"q12.3"
"515",3,104400000,107800000,"q13.11"
"516",3,107800000,109500000,"q13.12"
"517",3,109500000,112800000,"q13.13"
"518",3,112800000,115000000,"q13.2"
"519",3,115000000,118800000,"q13.31"
"520",3,118800000,120500000,"q13.32"
"521",3,120500000,123400000,"q13.33"
"522",3,123400000,125400000,"q21.1"
"523",3,125400000,127700000,"q21.2"
"524",3,127700000,131500000,"q21.3"
"525",3,131500000,135700000,"q22.1"
"526",3,135700000,137400000,"q22.2"
"527",3,137400000,140400000,"q22.3"
"528",3,140400000,144400000,"q23"
"529",3,144400000,150400000,"q24"
"530",3,150400000,153500000,"q25.1"
"531",3,153500000,156300000,"q25.2"
"532",3,156300000,158100000,"q25.31"
"533",3,158100000,159900000,"q25.32"
"534",3,159900000,161200000,"q25.33"
"535",3,161200000,169200000,"q26.1"
"536",3,169200000,172500000,"q26.2"
"537",3,172500000,177300000,"q26.31"
"538",3,177300000,180600000,"q26.32"
"539",3,180600000,184200000,"q26.33"
"540",3,184200000,186000000,"q27.1"
"541",3,186000000,187500000,"q27.2"
"542",3,187500000,189400000,"q27.3"
"543",3,189400000,193800000,"q28"
"544",3,193800000,199501827,"q29"
"545",4,0,3100000,"p16.3"
"546",4,3100000,5200000,"p16.2"
"547",4,5200000,10900000,"p16.1"
"548",4,10900000,15300000,"p15.33"
"549",4,15300000,18500000,"p15.32"
"550",4,18500000,23100000,"p15.31"
"551",4,23100000,27900000,"p15.2"
"552",4,27900000,35500000,"p15.1"
"553",4,35500000,40900000,"p14"
"554",4,40900000,45600000,"p13"
"555",4,45600000,48700000,"p12"
"556",4,48700000,50700000,"p11"
"557",4,50700000,52400000,"q11"
"558",4,52400000,59200000,"q12"
"559",4,59200000,66300000,"q13.1"
"560",4,66300000,70400000,"q13.2"
"561",4,70400000,76500000,"q13.3"
"562",4,76500000,79200000,"q21.1"
"563",4,79200000,82600000,"q21.21"
"564",4,82600000,84300000,"q21.22"
"565",4,84300000,87100000,"q21.23"
"566",4,87100000,88200000,"q21.3"
"567",4,88200000,94000000,"q22.1"
"568",4,94000000,95400000,"q22.2"
"569",4,95400000,99100000,"q22.3"
"570",4,99100000,102500000,"q23"
"571",4,102500000,107900000,"q24"
"572",4,107900000,114100000,"q25"
"573",4,114100000,120600000,"q26"
"574",4,120600000,124000000,"q27"
"575",4,124000000,129100000,"q28.1"
"576",4,129100000,131300000,"q28.2"
"577",4,131300000,139500000,"q28.3"
"578",4,139500000,141700000,"q31.1"
"579",4,141700000,145000000,"q31.21"
"580",4,145000000,147700000,"q31.22"
"581",4,147700000,151000000,"q31.23"
"582",4,151000000,155100000,"q31.3"
"583",4,155100000,161500000,"q32.1"
"584",4,161500000,164500000,"q32.2"
"585",4,164500000,170400000,"q32.3"
"586",4,170400000,172200000,"q33"
"587",4,172200000,176600000,"q34.1"
"588",4,176600000,177800000,"q34.2"
"589",4,177800000,182600000,"q34.3"
"590",4,182600000,187300000,"q35.1"
"591",4,187300000,191273063,"q35.2"
"592",5,0,4400000,"p15.33"
"593",5,4400000,6000000,"p15.32"
"594",5,6000000,8200000,"p15.31"
"595",5,8200000,15100000,"p15.2"
"596",5,15100000,18500000,"p15.1"
"597",5,18500000,23300000,"p14.3"
"598",5,23300000,24700000,"p14.2"
"599",5,24700000,29300000,"p14.1"
"600",5,29300000,34400000,"p13.3"
"601",5,34400000,38500000,"p13.2"
"602",5,38500000,42400000,"p13.1"
"603",5,42400000,45800000,"p12"
"604",5,45800000,47700000,"p11"
"605",5,47700000,50500000,"q11.1"
"606",5,50500000,58900000,"q11.2"
"607",5,58900000,63000000,"q12.1"
"608",5,63000000,63700000,"q12.2"
"609",5,63700000,66500000,"q12.3"
"610",5,66500000,68400000,"q13.1"
"611",5,68400000,73300000,"q13.2"
"612",5,73300000,76400000,"q13.3"
"613",5,76400000,81300000,"q14.1"
"614",5,81300000,82800000,"q14.2"
"615",5,82800000,91900000,"q14.3"
"616",5,91900000,97300000,"q15"
"617",5,97300000,102800000,"q21.1"
"618",5,102800000,104500000,"q21.2"
"619",5,104500000,109600000,"q21.3"
"620",5,109600000,111500000,"q22.1"
"621",5,111500000,113100000,"q22.2"
"622",5,113100000,115200000,"q22.3"
"623",5,115200000,121500000,"q23.1"
"624",5,121500000,127300000,"q23.2"
"625",5,127300000,130400000,"q23.3"
"626",5,130400000,135400000,"q31.1"
"627",5,135400000,139000000,"q31.2"
"628",5,139000000,143100000,"q31.3"
"629",5,143100000,147200000,"q32"
"630",5,147200000,152100000,"q33.1"
"631",5,152100000,155600000,"q33.2"
"632",5,155600000,159900000,"q33.3"
"633",5,159900000,167400000,"q34"
"634",5,167400000,172200000,"q35.1"
"635",5,172200000,176500000,"q35.2"
"636",5,176500000,180857866,"q35.3"
"637",6,0,2300000,"p25.3"
"638",6,2300000,4100000,"p25.2"
"639",6,4100000,7000000,"p25.1"
"640",6,7000000,10600000,"p24.3"
"641",6,10600000,11200000,"p24.2"
"642",6,11200000,13500000,"p24.1"
"643",6,13500000,15500000,"p23"
"644",6,15500000,23500000,"p22.3"
"645",6,23500000,26100000,"p22.2"
"646",6,26100000,29900000,"p22.1"
"647",6,29900000,31900000,"p21.33"
"648",6,31900000,33600000,"p21.32"
"649",6,33600000,36800000,"p21.31"
"650",6,36800000,40600000,"p21.2"
"651",6,40600000,45200000,"p21.1"
"652",6,45200000,51100000,"p12.3"
"653",6,51100000,52600000,"p12.2"
"654",6,52600000,57200000,"p12.1"
"655",6,57200000,58400000,"p11.2"
"656",6,58400000,60500000,"p11.1"
"657",6,60500000,63400000,"q11.1"
"658",6,63400000,63500000,"q11.2"
"659",6,63500000,70000000,"q12"
"660",6,70000000,75900000,"q13"
"661",6,75900000,83900000,"q14.1"
"662",6,83900000,84700000,"q14.2"
"663",6,84700000,87500000,"q14.3"
"664",6,87500000,92100000,"q15"
"665",6,92100000,98700000,"q16.1"
"666",6,98700000,99900000,"q16.2"
"667",6,99900000,104800000,"q16.3"
"668",6,104800000,113900000,"q21"
"669",6,113900000,117100000,"q22.1"
"670",6,117100000,118600000,"q22.2"
"671",6,118600000,126200000,"q22.31"
"672",6,126200000,127300000,"q22.32"
"673",6,127300000,130400000,"q22.33"
"674",6,130400000,131300000,"q23.1"
"675",6,131300000,135200000,"q23.2"
"676",6,135200000,139100000,"q23.3"
"677",6,139100000,142900000,"q24.1"
"678",6,142900000,145700000,"q24.2"
"679",6,145700000,149100000,"q24.3"
"680",6,149100000,152600000,"q25.1"
"681",6,152600000,155600000,"q25.2"
"682",6,155600000,160900000,"q25.3"
"683",6,160900000,164400000,"q26"
"684",6,164400000,170899992,"q27"
"685",7,0,2100000,"p22.3"
"686",7,2100000,4500000,"p22.2"
"687",7,4500000,7200000,"p22.1"
"688",7,7200000,13300000,"p21.3"
"689",7,13300000,15200000,"p21.2"
"690",7,15200000,19500000,"p21.1"
"691",7,19500000,24900000,"p15.3"
"692",7,24900000,28000000,"p15.2"
"693",7,28000000,31800000,"p15.1"
"694",7,31800000,35600000,"p14.3"
"695",7,35600000,37500000,"p14.2"
"696",7,37500000,43300000,"p14.1"
"697",7,43300000,46600000,"p13"
"698",7,46600000,49800000,"p12.3"
"699",7,49800000,50900000,"p12.2"
"700",7,50900000,53900000,"p12.1"
"701",7,53900000,57400000,"p11.2"
"702",7,57400000,59100000,"p11.1"
"703",7,59100000,61100000,"q11.1"
"704",7,61100000,66100000,"q11.21"
"705",7,66100000,71800000,"q11.22"
"706",7,71800000,77400000,"q11.23"
"707",7,77400000,86200000,"q21.11"
"708",7,86200000,88000000,"q21.12"
"709",7,88000000,90900000,"q21.13"
